Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2026-05-13 19:00:00,79598.15,79646.29,79400.0,79642.41,463.49581,2026-05-13 19:59:59.999,36860911.5275944,78120.0,261.75375,20818894.8056501,0.0
2026-05-13 20:00:00,79642.41,79760.0,79622.7,79698.95,225.22286,2026-05-13 20:59:59.999,17946408.1773808,49988.0,147.33768,11740073.1966629,0.0
2026-05-13 21:00:00,79698.95,79705.73,79340.39,79398.54,418.00056,2026-05-13 21:59:59.999,33219202.3430505,67406.0,222.81955,17707559.5910195,0.0
2026-05-13 22:00:00,79398.54,79470.0,79228.0,79428.46,338.28664,2026-05-13 22:59:59.999,26845331.788562,71621.0,183.22455,14540676.2228762,0.0
2026-05-13 23:00:00,79428.46,79499.01,79233.83,79313.61,497.51837,2026-05-13 23:59:59.999,39478895.8442422,63422.0,267.25577,21204436.6890908,0.0
2026-05-14 00:00:00,79313.61,79681.73,79308.0,79580.0,443.66772,2026-05-14 00:59:59.999,35278540.1395545,80912.0,308.86743,24558123.8638328,0.0
2026-05-14 01:00:00,79580.0,79681.73,79409.42,79604.6,369.48629,2026-05-14 01:59:59.999,29403676.3458954,78900.0,205.05917,16318599.6295761,0.0
2026-05-14 02:00:00,79604.61,79676.11,79222.22,79370.24,684.03959,2026-05-14 02:59:59.999,54437936.6490468,84024.0,301.00902,23957064.5935722,0.0
2026-05-14 03:00:00,79370.24,79460.0,78922.0,79044.85,712.36112,2026-05-14 03:59:59.999,56419945.6467915,153490.0,310.16831,24574333.3456604,0.0
2026-05-14 04:00:00,79044.86,79474.41,78982.06,79451.63,437.35487,2026-05-14 04:59:59.999,34678525.5034308,74853.0,288.30964,22862608.2297688,0.0
2026-05-14 05:00:00,79451.62,79998.0,79359.49,79809.16,850.16622,2026-05-14 05:59:59.999,67714774.1526329,103063.0,458.09043,36496834.4944338,0.0
2026-05-14 06:00:00,79809.15,79953.35,79769.12,79804.71,301.13354,2026-05-14 06:59:59.999,24047929.7152209,63253.0,139.96864,11178614.2136617,0.0
2026-05-14 07:00:00,79804.72,79937.59,79702.05,79745.98,480.32483,2026-05-14 07:59:59.999,38349620.3578426,67783.0,221.98095,17726166.9486009,0.0
2026-05-14 08:00:00,79745.99,79936.98,79644.44,79821.56,652.77033,2026-05-14 08:59:59.999,52099204.8884906,84347.0,354.31996,28280644.3233393,0.0
